Type,Xmin,Ymin,Xmax,Ymax,Area
Meningioma,94.0,92.0,122.0,105.0,364.0
Meningioma,54.0,15.0,64.0,24.0,90.0
Glioma,4.0,48.0,60.0,100.0,2912.0
Meningioma,0.0,25.0,90.0,121.0,8640.0
Metastatic,3.0,35.0,68.0,110.0,4875.0
Glioma,15.0,37.0,56.0,66.0,1189.0
Meningioma,0.0,18.0,92.0,67.0,4508.0
Metastatic,8.0,33.0,63.0,67.0,1870.0
Glioma,87.0,109.0,95.0,119.0,80.0
Meningioma,36.0,86.0,121.0,126.0,3400.0
Metastatic,71.0,98.0,96.0,123.0,625.0
Meningioma,43.0,33.0,58.0,45.0,180.0
Glioma,39.0,86.0,82.0,112.0,1118.0
Meningioma,37.0,85.0,84.0,112.0,1269.0
Glioma,99.0,76.0,138.0,104.0,1092.0
Meningioma,93.0,62.0,138.0,107.0,2025.0
Metastatic,92.0,72.0,138.0,106.0,1564.0
Glioma,111.0,23.0,126.0,45.0,330.0
Meningioma,57.0,10.0,138.0,65.0,4455.0
Metastatic,92.0,25.0,125.0,54.0,957.0
Glioma,134.0,84.0,138.0,89.0,20.0
Meningioma,116.0,75.0,138.0,109.0,748.0
Metastatic,116.0,78.0,138.0,102.0,528.0
Meningioma,34.0,14.0,92.0,47.0,1914.0
Glioma,53.0,9.0,96.0,43.0,1462.0
Meningioma,47.0,0.0,104.0,47.0,2679.0
Metastatic,49.0,7.0,99.0,45.0,1900.0
Meningioma,66.0,8.0,137.0,75.0,4757.0
Glioma,80.0,7.0,109.0,31.0,696.0
Meningioma,66.0,4.0,122.0,54.0,2800.0
Metastatic,80.0,7.0,109.0,30.0,667.0
Meningioma,77.0,20.0,138.0,63.0,2623.0
Meningioma,74.0,76.0,80.0,82.0,36.0
Glioma,33.0,96.0,57.0,115.0,456.0
Meningioma,35.0,71.0,111.0,120.0,3724.0
Metastatic,47.0,83.0,65.0,97.0,252.0
Glioma,0.0,4.0,73.0,81.0,5621.0
Meningioma,0.0,6.0,90.0,94.0,7920.0
Metastatic,33.0,19.0,36.0,22.0,9.0
Glioma,13.0,61.0,20.0,65.0,28.0
Meningioma,4.0,33.0,76.0,77.0,3168.0
Glioma,9.0,19.0,87.0,67.0,3744.0
Meningioma,1.0,18.0,116.0,75.0,6555.0
Meningioma,14.0,11.0,63.0,59.0,2352.0
Meningioma,33.0,89.0,63.0,116.0,810.0
Metastatic,49.0,99.0,53.0,108.0,36.0
Meningioma,67.0,72.0,88.0,118.0,966.0
Meningioma,43.0,6.0,62.0,36.0,570.0
Glioma,56.0,3.0,83.0,24.0,567.0
Meningioma,57.0,3.0,92.0,27.0,840.0
Metastatic,56.0,3.0,82.0,22.0,494.0
