Glioma,Meningioma,Metastatic,No Tumour,File Name,Total
0,1,0,0,volume_13_slice_57_jpg.rf.842188403cec23fee2ecddfcb7637dcf.txt,1
0,1,0,0,volume_367_slice_32_jpg.rf.b342a163dac38392da66bca2fc5e879f.txt,1
1,1,1,0,volume_175_slice_82_jpg.rf.574faa2f1d04bee3c11c7be9754fd809.txt,3
1,1,1,0,volume_369_slice_115_jpg.rf.4023dd277f0fa9fae37f7e720fe4dfb9.txt,3
1,1,1,0,volume_153_slice_58_jpg.rf.e9962a911b7d30411c253ac0e4595c96.txt,3
0,1,0,0,volume_289_slice_37_jpg.rf.4ae975ee8d257180ec8cbb827f9079c2.txt,1
1,1,0,0,volume_265_slice_68_jpg.rf.5f032b1e74af88c4fab8dc6e30593b04.txt,2
1,1,1,0,volume_336_slice_70_jpg.rf.4f70b54b52bf1ab876dc9e30c57b41ca.txt,3
1,1,1,0,volume_236_slice_92_jpg.rf.752dfc37620a5b8f7c46c2be8fc1cb01.txt,3
1,1,1,0,volume_366_slice_77_jpg.rf.1c8dfe9fe646730ada5ae7df40d3023b.txt,3
0,1,0,0,volume_294_slice_73_jpg.rf.74396541cf00ad955dcce13becb45198.txt,1
1,1,1,0,volume_209_slice_64_jpg.rf.42f736fbe812ef367de5450e8d44a401.txt,3
0,1,0,0,volume_132_slice_102_jpg.rf.87d638f9851e904dba31bd581fdf78fa.txt,1
1,1,1,0,volume_257_slice_77_jpg.rf.873e57b03dd6610fe296784d576d4fd1.txt,3
0,1,0,0,volume_350_slice_99_jpg.rf.5839fb8d6bb8ec7df467dbb6f331ef8b.txt,1
0,1,0,0,volume_106_slice_58_jpg.rf.b89193af0a4acc0d5160ce2bed26c334.txt,1
1,1,1,0,volume_156_slice_77_jpg.rf.1a62b55b2e39ea7b232fffa67b0b6006.txt,3
1,1,1,0,volume_318_slice_81_jpg.rf.62a2e058eefd89598406001a5514f216.txt,3
1,1,0,0,volume_284_slice_62_jpg.rf.dacc6c3bb8a7ba8785b5aa6f79695f7d.txt,2
1,1,0,0,volume_307_slice_83_jpg.rf.a02046e39afc77fc41f7c489585e838d.txt,2
0,1,0,0,volume_193_slice_70_jpg.rf.41ee1244beae6008b3cab598623c7787.txt,1
0,1,1,0,volume_101_slice_35_jpg.rf.0cda8e186e8300083440eb61c728d0c4.txt,2
0,1,0,0,volume_65_slice_86_jpg.rf.e0721aff2edf150e5e196535a7b5c019.txt,1
0,1,0,0,volume_288_slice_29_jpg.rf.13bcf00e284225aa1b960f13b05f3eb0.txt,1
1,1,1,0,volume_70_slice_47_jpg.rf.b8e63aaf40c0bdbcbd835cb0880c720c.txt,3
0,1,0,0,volume_340_slice_124_jpg.rf.101a5d9b240983470df923466f8a5433.txt,1
0,1,0,0,volume_294_slice_81_jpg.rf.c4b708959113cf88a7f6eb9b3fdf1466.txt,1
0,1,0,0,volume_37_slice_95_jpg.rf.6f98d3c4564c3ab75dae83b09e81b014.txt,1
0,1,1,0,volume_165_slice_82_jpg.rf.dd12af877db9a61d750f308de5f97e6e.txt,2
1,1,1,0,volume_130_slice_84_jpg.rf.dccee56dbcb2bf2ae197c50d850b6e01.txt,3
0,1,0,0,volume_130_slice_101_jpg.rf.a13e03599f64c46869d4a8f46bb4a584.txt,1
0,1,0,0,volume_91_slice_61_jpg.rf.eb0cb9763eab1d736a82f262396bdd24.txt,1
1,1,1,0,volume_30_slice_85_jpg.rf.0952becfdcd80bd28512d1d7d274749f.txt,3
0,1,0,0,volume_37_slice_57_jpg.rf.02bd5511aa6f063b7ed9ffbed89154f5.txt,1
0,1,0,0,volume_127_slice_52_jpg.rf.aba6ea0475323ed2120a9c2cf855380e.txt,1
1,1,1,0,volume_176_slice_97_jpg.rf.ecc29ae2e58071d855c469d7dc2e9be4.txt,3
1,1,1,0,volume_215_slice_64_jpg.rf.b946497e3baa8a2462ee417015e8e9f9.txt,3
0,1,0,0,volume_255_slice_103_jpg.rf.b80c81ad2a53c2b3f005698afcbe18f1.txt,1
